Equator
Date,DayDuration,DurationDelta
2022-01-01,08:00:13,66.0
2022-01-02,08:01:25,72.0
2022-01-03,08:02:43,78.0
2022-01-04,08:04:06,83.0
2022-01-05,08:05:36,90.0
2022-01-06,08:07:11,95.0
2022-01-07,08:08:51,100.0
2022-01-08,08:10:37,106.0
2022-01-09,08:12:29,112.0
2022-01-10,08:14:25,116.0
2022-01-11,08:16:26,121.0
2022-01-12,08:18:33,127.0
2022-01-13,08:20:44,131.0
2022-01-14,08:23:00,136.0
2022-01-15,08:25:21,141.0
2022-01-16,08:27:46,145.0
2022-01-17,08:30:16,150.0
2022-01-18,08:32:50,154.0
2022-01-19,08:35:27,157.0
2022-01-20,08:38:09,162.0
2022-01-21,08:40:55,166.0
2022-01-22,08:43:44,169.0
2022-01-23,08:46:37,173.0
2022-01-24,08:49:32,175.0
2022-01-25,08:52:32,180.0
2022-01-26,08:55:34,182.0
2022-01-27,08:58:40,186.0
2022-01-28,09:01:48,188.0
2022-01-29,09:05:00,192.0
2022-01-30,09:08:14,194.0
2022-01-31,09:11:30,196.0
2022-02-01,09:14:49,199.0
2022-02-02,09:18:10,201.0
2022-02-03,09:21:33,203.0
2022-02-04,09:24:59,206.0
2022-02-05,09:28:27,208.0
2022-02-06,09:31:57,210.0
2022-02-07,09:35:28,211.0
2022-02-08,09:39:02,214.0
2022-02-09,09:42:37,215.0
2022-02-10,09:46:14,217.0
2022-02-11,09:49:52,218.0
2022-02-12,09:53:31,219.0
2022-02-13,09:57:13,222.0
2022-02-14,10:00:55,222.0
2022-02-15,10:04:38,223.0
2022-02-16,10:08:23,225.0
2022-02-17,10:12:09,226.0
2022-02-18,10:15:55,226.0
2022-02-19,10:19:44,229.0
2022-02-20,10:23:32,228.0
2022-02-21,10:27:22,230.0
2022-02-22,10:31:11,229.0
2022-02-23,10:35:03,232.0
2022-02-24,10:38:55,232.0
2022-02-25,10:42:47,232.0
2022-02-26,10:46:41,234.0
2022-02-27,10:50:34,233.0
2022-02-28,10:54:29,235.0
2022-03-01,10:58:23,234.0
2022-03-02,11:02:18,235.0
2022-03-03,11:06:13,235.0
2022-03-04,11:10:10,237.0
2022-03-05,11:14:06,236.0
2022-03-06,11:18:03,237.0
2022-03-07,11:22:00,237.0
2022-03-08,11:25:57,237.0
2022-03-09,11:29:55,238.0
2022-03-10,11:33:53,238.0
2022-03-11,11:37:50,237.0
2022-03-12,11:41:48,238.0
2022-03-13,11:45:47,239.0
2022-03-14,11:49:45,238.0
2022-03-15,11:53:43,238.0
2022-03-16,11:57:42,239.0
2022-03-17,12:01:41,239.0
2022-03-18,12:05:40,239.0
2022-03-19,12:09:38,238.0
2022-03-20,12:13:36,238.0
2022-03-21,12:17:36,240.0
2022-03-22,12:21:34,238.0
2022-03-23,12:25:32,238.0
2022-03-24,12:29:31,239.0
2022-03-25,12:33:29,238.0
2022-03-26,12:37:28,239.0
2022-03-27,12:41:25,237.0
2022-03-28,12:45:23,238.0
2022-03-29,12:49:21,238.0
2022-03-30,12:53:18,237.0
2022-03-31,12:57:15,237.0
2022-04-01,13:01:12,237.0
